register_name,address
SIM_SOPT4,0x4004800c
CRC_CTRL,0x40032008
SDHC_IRQSTAT,0x400b1030
ADC0_MG,0x4003b030
ADC0_CLPD,0x4003b034
ADC1_MG,0x400bb030
ADC1_CLPD,0x400bb034
ENET_OPD,0x400c00E8
PDB0_CNT,0x40036008
PDB0_CH0C1,0x40036010
SDHC_IRQSIGEN,0x400b1038
FMC_PFB1CR,0x4001f008
FMC_TAGVDW0S0,0x4001f100
ENET_ATCOR,0x400c0410
AIPS0_MPRA,0x40000000
SIM_SCGC7,0x40048040
AIPS0_PACRA,0x40000020
AIPS0_PACRC,0x40000028
AIPS0_PACRF,0x40000044
AIPS0_PACRG,0x40000048
AIPS0_PACRH,0x4000004c
AIPS0_PACRI,0x40000050
AIPS0_PACRJ,0x40000054
AIPS0_PACRK,0x40000058
AIPS0_PACRL,0x4000005c
AIPS0_PACRM,0x40000060
AIPS0_PACRN,0x40000064
AIPS0_PACRO,0x40000068
AIPS0_PACRP,0x4000006c
AXBS_PRS0,0x40004000
AXBS_CRS0,0x40004010
AXBS_PRS1,0x40004100
AXBS_CRS1,0x40004110
AXBS_PRS2,0x40004200
AXBS_CRS2,0x40004210
AXBS_PRS3,0x40004300
AXBS_CRS3,0x40004310
AXBS_PRS4,0x40004400
AXBS_CRS4,0x40004410
AXBS_PRS5,0x40004500
AXBS_CRS5,0x40004510
AXBS_PRS6,0x40004600
AXBS_CRS6,0x40004610
AXBS_PRS7,0x40004700
AXBS_CRS7,0x40004710
AXBS_MGPCR0,0x40004800
AXBS_MGPCR1,0x40004900
AXBS_MGPCR2,0x40004a00
AXBS_MGPCR3,0x40004b00
AXBS_MGPCR4,0x40004c00
AXBS_MGPCR5,0x40004d00
AXBS_MGPCR6,0x40004e00
AXBS_MGPCR7,0x40004f00
DMA_CR,0x40008000
DMA_ES,0x40008004
DMA_CEEI,0x40008018
DMA_SEEI,0x40008019
DMA_CERQ,0x4000801a
DMA_SERQ,0x4000801b
DMA_CDNE,0x4000801c
DMA_SSRT,0x4000801d
DMA_CERR,0x4000801e
DMA_CINT,0x4000801f
DMA_DCHPRI3,0x40008100
DMA_DCHPRI2,0x40008101
DMA_DCHPRI1,0x40008102
DMA_DCHPRI0,0x40008103
DMA_DCHPRI7,0x40008104
DMA_DCHPRI6,0x40008105
DMA_DCHPRI5,0x40008106
DMA_DCHPRI4,0x40008107
DMA_DCHPRI11,0x40008108
DMA_DCHPRI10,0x40008109
DMA_DCHPRI9,0x4000810a
DMA_DCHPRI8,0x4000810b
DMA_DCHPRI15,0x4000810c
DMA_DCHPRI14,0x4000810d
DMA_DCHPRI13,0x4000810e
DMA_DCHPRI12,0x4000810f
DMA_TCD0_SADDR,0x40009000
DMA_TCD0_SOFF,0x40009004
DMA_TCD0_ATTR,0x40009006
DMA_TCD0_NBYTES_MLNO,0x40009008
DMA_TCD0_NBYTES_MLOFFNO,0x40009008
DMA_TCD0_NBYTES_MLOFFYES,0x40009008
DMA_TCD0_SLAST,0x4000900c
DMA_TCD0_DADDR,0x40009010
DMA_TCD0_DOFF,0x40009014
DMA_TCD0_CITER_ELINKYES,0x40009016
DMA_TCD0_CITER_ELINKNO,0x40009016
DMA_TCD0_DLASTSGA,0x40009018
DMA_TCD0_CSR,0x4000901c
DMA_TCD0_BITER_ELINKYES,0x4000901e
DMA_TCD0_BITER_ELINKNO,0x4000901e
DMA_TCD1_SADDR,0x40009020
DMA_TCD1_SOFF,0x40009024
DMA_TCD1_ATTR,0x40009026
DMA_TCD1_NBYTES_MLNO,0x40009028
DMA_TCD1_NBYTES_MLOFFNO,0x40009028
DMA_TCD1_NBYTES_MLOFFYES,0x40009028
DMA_TCD1_SLAST,0x4000902c
DMA_TCD1_DADDR,0x40009030
DMA_TCD1_DOFF,0x40009034
DMA_TCD1_CITER_ELINKYES,0x40009036
DMA_TCD1_CITER_ELINKNO,0x40009036
DMA_TCD1_DLASTSGA,0x40009038
DMA_TCD1_CSR,0x4000903c
DMA_TCD1_BITER_ELINKYES,0x4000903e
DMA_TCD1_BITER_ELINKNO,0x4000903e
DMA_TCD2_SADDR,0x40009040
DMA_TCD2_SOFF,0x40009044
DMA_TCD2_ATTR,0x40009046
DMA_TCD2_NBYTES_MLNO,0x40009048
DMA_TCD2_NBYTES_MLOFFNO,0x40009048
DMA_TCD2_NBYTES_MLOFFYES,0x40009048
DMA_TCD2_SLAST,0x4000904c
DMA_TCD2_DADDR,0x40009050
DMA_TCD2_DOFF,0x40009054
DMA_TCD2_CITER_ELINKYES,0x40009056
DMA_TCD2_CITER_ELINKNO,0x40009056
DMA_TCD2_DLASTSGA,0x40009058
DMA_TCD2_CSR,0x4000905c
DMA_TCD2_BITER_ELINKYES,0x4000905e
DMA_TCD2_BITER_ELINKNO,0x4000905e
DMA_TCD3_SADDR,0x40009060
DMA_TCD3_SOFF,0x40009064
DMA_TCD3_ATTR,0x40009066
DMA_TCD3_NBYTES_MLNO,0x40009068
DMA_TCD3_NBYTES_MLOFFNO,0x40009068
DMA_TCD3_NBYTES_MLOFFYES,0x40009068
DMA_TCD3_SLAST,0x4000906c
DMA_TCD3_DADDR,0x40009070
DMA_TCD3_DOFF,0x40009074
DMA_TCD3_CITER_ELINKYES,0x40009076
DMA_TCD3_CITER_ELINKNO,0x40009076
DMA_TCD3_DLASTSGA,0x40009078
DMA_TCD3_CSR,0x4000907c
DMA_TCD3_BITER_ELINKYES,0x4000907e
DMA_TCD3_BITER_ELINKNO,0x4000907e
DMA_TCD4_SADDR,0x40009080
DMA_TCD4_SOFF,0x40009084
DMA_TCD4_ATTR,0x40009086
DMA_TCD4_NBYTES_MLNO,0x40009088
DMA_TCD4_NBYTES_MLOFFNO,0x40009088
DMA_TCD4_NBYTES_MLOFFYES,0x40009088
DMA_TCD4_SLAST,0x4000908c
DMA_TCD4_DADDR,0x40009090
DMA_TCD4_DOFF,0x40009094
DMA_TCD4_CITER_ELINKYES,0x40009096
DMA_TCD4_CITER_ELINKNO,0x40009096
DMA_TCD4_DLASTSGA,0x40009098
DMA_TCD4_CSR,0x4000909c
DMA_TCD4_BITER_ELINKYES,0x4000909e
DMA_TCD4_BITER_ELINKNO,0x4000909e
DMA_TCD5_SADDR,0x400090a0
DMA_TCD5_SOFF,0x400090a4
DMA_TCD5_ATTR,0x400090a6
DMA_TCD5_NBYTES_MLNO,0x400090a8
DMA_TCD5_NBYTES_MLOFFNO,0x400090a8
DMA_TCD5_NBYTES_MLOFFYES,0x400090a8
DMA_TCD5_SLAST,0x400090ac
DMA_TCD5_DADDR,0x400090b0
DMA_TCD5_DOFF,0x400090b4
DMA_TCD5_CITER_ELINKYES,0x400090b6
DMA_TCD5_CITER_ELINKNO,0x400090b6
DMA_TCD5_DLASTSGA,0x400090b8
DMA_TCD5_CSR,0x400090bc
DMA_TCD5_BITER_ELINKYES,0x400090be
DMA_TCD5_BITER_ELINKNO,0x400090be
DMA_TCD6_SADDR,0x400090c0
DMA_TCD6_SOFF,0x400090c4
DMA_TCD6_ATTR,0x400090c6
DMA_TCD6_NBYTES_MLNO,0x400090c8
DMA_TCD6_NBYTES_MLOFFNO,0x400090c8
DMA_TCD6_NBYTES_MLOFFYES,0x400090c8
DMA_TCD6_SLAST,0x400090cc
DMA_TCD6_DADDR,0x400090d0
DMA_TCD6_DOFF,0x400090d4
DMA_TCD6_CITER_ELINKYES,0x400090d6
DMA_TCD6_CITER_ELINKNO,0x400090d6
DMA_TCD6_DLASTSGA,0x400090d8
DMA_TCD6_CSR,0x400090dc
DMA_TCD6_BITER_ELINKYES,0x400090de
DMA_TCD6_BITER_ELINKNO,0x400090de
DMA_TCD7_SADDR,0x400090e0
DMA_TCD7_SOFF,0x400090e4
DMA_TCD7_ATTR,0x400090e6
DMA_TCD7_NBYTES_MLNO,0x400090e8
DMA_TCD7_NBYTES_MLOFFNO,0x400090e8
DMA_TCD7_NBYTES_MLOFFYES,0x400090e8
DMA_TCD7_SLAST,0x400090ec
DMA_TCD7_DADDR,0x400090f0
DMA_TCD7_DOFF,0x400090f4
DMA_TCD7_CITER_ELINKYES,0x400090f6
DMA_TCD7_CITER_ELINKNO,0x400090f6
DMA_TCD7_DLASTSGA,0x400090f8
DMA_TCD7_CSR,0x400090fc
DMA_TCD7_BITER_ELINKYES,0x400090fe
DMA_TCD7_BITER_ELINKNO,0x400090fe
DMA_TCD8_SADDR,0x40009100
DMA_TCD8_SOFF,0x40009104
DMA_TCD8_ATTR,0x40009106
DMA_TCD8_NBYTES_MLNO,0x40009108
DMA_TCD8_NBYTES_MLOFFNO,0x40009108
DMA_TCD8_NBYTES_MLOFFYES,0x40009108
DMA_TCD8_SLAST,0x4000910c
DMA_TCD8_DADDR,0x40009110
DMA_TCD8_DOFF,0x40009114
DMA_TCD8_CITER_ELINKYES,0x40009116
DMA_TCD8_CITER_ELINKNO,0x40009116
DMA_TCD8_DLASTSGA,0x40009118
DMA_TCD8_CSR,0x4000911c
DMA_TCD8_BITER_ELINKYES,0x4000911e
DMA_TCD8_BITER_ELINKNO,0x4000911e
DMA_TCD9_SADDR,0x40009120
DMA_TCD9_SOFF,0x40009124
DMA_TCD9_ATTR,0x40009126
DMA_TCD9_NBYTES_MLNO,0x40009128
DMA_TCD9_NBYTES_MLOFFNO,0x40009128
DMA_TCD9_NBYTES_MLOFFYES,0x40009128
DMA_TCD9_SLAST,0x4000912c
DMA_TCD9_DADDR,0x40009130
DMA_TCD9_DOFF,0x40009134
DMA_TCD9_CITER_ELINKYES,0x40009136
DMA_TCD9_CITER_ELINKNO,0x40009136
DMA_TCD9_DLASTSGA,0x40009138
DMA_TCD9_CSR,0x4000913c
DMA_TCD9_BITER_ELINKYES,0x4000913e
DMA_TCD9_BITER_ELINKNO,0x4000913e
DMA_TCD10_SADDR,0x40009140
DMA_TCD10_SOFF,0x40009144
DMA_TCD10_ATTR,0x40009146
DMA_TCD10_NBYTES_MLNO,0x40009148
DMA_TCD10_NBYTES_MLOFFNO,0x40009148
DMA_TCD10_NBYTES_MLOFFYES,0x40009148
DMA_TCD10_SLAST,0x4000914c
DMA_TCD10_DADDR,0x40009150
DMA_TCD10_DOFF,0x40009154
DMA_TCD10_CITER_ELINKYES,0x40009156
DMA_TCD10_CITER_ELINKNO,0x40009156
DMA_TCD10_DLASTSGA,0x40009158
DMA_TCD10_CSR,0x4000915c
DMA_TCD10_BITER_ELINKYES,0x4000915e
DMA_TCD10_BITER_ELINKNO,0x4000915e
DMA_TCD11_SADDR,0x40009160
DMA_TCD11_SOFF,0x40009164
DMA_TCD11_ATTR,0x40009166
DMA_TCD11_NBYTES_MLNO,0x40009168
DMA_TCD11_NBYTES_MLOFFNO,0x40009168
DMA_TCD11_NBYTES_MLOFFYES,0x40009168
DMA_TCD11_SLAST,0x4000916c
DMA_TCD11_DADDR,0x40009170
DMA_TCD11_DOFF,0x40009174
DMA_TCD11_CITER_ELINKYES,0x40009176
DMA_TCD11_CITER_ELINKNO,0x40009176
DMA_TCD11_DLASTSGA,0x40009178
DMA_TCD11_CSR,0x4000917c
DMA_TCD11_BITER_ELINKYES,0x4000917e
DMA_TCD11_BITER_ELINKNO,0x4000917e
DMA_TCD12_SADDR,0x40009180
DMA_TCD12_SOFF,0x40009184
DMA_TCD12_ATTR,0x40009186
DMA_TCD12_NBYTES_MLNO,0x40009188
DMA_TCD12_NBYTES_MLOFFNO,0x40009188
DMA_TCD12_NBYTES_MLOFFYES,0x40009188
DMA_TCD12_SLAST,0x4000918c
DMA_TCD12_DADDR,0x40009190
DMA_TCD12_DOFF,0x40009194
DMA_TCD12_CITER_ELINKYES,0x40009196
DMA_TCD12_CITER_ELINKNO,0x40009196
DMA_TCD12_DLASTSGA,0x40009198
DMA_TCD12_CSR,0x4000919c
DMA_TCD12_BITER_ELINKYES,0x4000919e
DMA_TCD12_BITER_ELINKNO,0x4000919e
DMA_TCD13_SADDR,0x400091a0
DMA_TCD13_SOFF,0x400091a4
DMA_TCD13_ATTR,0x400091a6
DMA_TCD13_NBYTES_MLNO,0x400091a8
DMA_TCD13_NBYTES_MLOFFNO,0x400091a8
DMA_TCD13_NBYTES_MLOFFYES,0x400091a8
DMA_TCD13_SLAST,0x400091ac
DMA_TCD13_DADDR,0x400091b0
DMA_TCD13_DOFF,0x400091b4
DMA_TCD13_CITER_ELINKYES,0x400091b6
DMA_TCD13_CITER_ELINKNO,0x400091b6
DMA_TCD13_DLASTSGA,0x400091b8
DMA_TCD13_CSR,0x400091bc
DMA_TCD13_BITER_ELINKYES,0x400091be
DMA_TCD13_BITER_ELINKNO,0x400091be
DMA_TCD14_SADDR,0x400091c0
DMA_TCD14_SOFF,0x400091c4
DMA_TCD14_ATTR,0x400091c6
DMA_TCD14_NBYTES_MLNO,0x400091c8
DMA_TCD14_NBYTES_MLOFFNO,0x400091c8
DMA_TCD14_NBYTES_MLOFFYES,0x400091c8
